2004,"I, Robot ",115,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ,115,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004, I, Robot ,115,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ", Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
-2004,"I, Robot ",115,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
MMIV,"I, Robot ",115,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
,"I, Robot ",115,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",444,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",1 hour,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ", ,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",115,Aktion,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",115,Action, ,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",115,Action,PG-31,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",115,Action, ,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBrid
2004,"I, Robot ",115,Action,PG-13,71,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",115,Action,PG-13,ten,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",115,Action,PG-13, ,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004,"I, Robot ",115,Action,PG-13,7.1,Alex Proyas,Will Smith, ,Chi McBride
2004, ,115,Action,PG-13,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
2004, ,115, komedy, ,7.1,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride
,"I, Robot ",115,Action,PG-13,7.1,Alex Proyas,Will Smith, ,Chi McBride
